id,label,name,citations,publications,modularity_class
0.0,Белоусов К.И.,272789,664,81,1
1.0,Москальчук Г.Г.,388429,973,90,3
2.0,Моисеева И.Ю.,671469,106,49,3
3.0,Ерофеева Е.В.,110679,580,87,0
4.0,Ерофеева Т.И.,72384,649,75,0
5.0,Зелянская Н.Л.,326637,305,76,1
6.0,Баранов Д.А.,642816,74,26,1
7.0,Карлина Т.В.,674518,89,15,5
14.0,Ичкинеева Д.А.,583263,28,33,1
15.0,Подтихова Е.А.,583260,12,9,1
16.0,Мишланова С.Л.,386391,1112,184,2
17.0,Заседателева М.Г.,760476,13,21,2
18.0,Галинская Т.Н.,689588,83,59,1
19.0,Седова Е.Н.,632337,60,28,6
20.0,Грузберг Л.А.,179728,51,28,0
21.0,Стренева Н.В.,609291,32,14,1
22.0,Блазнова Н.А.,275531,93,19,3
28.0,Сафрон Е.А.,720390,19,33,3
29.0,Манаков Н.А.,176034,328,104,3
30.0,Суворова П.Е.,650410,107,34,3
37.0,Бузаева Я.А.,757076,19,5,3
38.0,Солодянкина Н.В.,661302,31,7,3
39.0,Корбут А.Ю.,533424,151,16,3
40.0,Бекасова Е.Н.,516439,443,193,3
41.0,Прокофьева В.Ю.,516437,248,81,3
152.0,Корлякова А.Ф.,512006,1,7,0
170.0,Литвинова Е.С.,653348,21,26,0
193.0,Левицкий Ю.А.,526404,865,41,0
270.0,Овчинникова Е.В.,718310,6,10,0
275.0,Автухович Ю.Э.,643254,4,3,0
284.0,Гаранович М.В.,703728,28,14,0
870.0,Боронникова Н.В.,126107,118,43,0
882.0,Доценко Т.И.,140460,176,36,0
1437.0,Влацкая И.В.,118835,89,58,1
1502.0,Пепеляева Е.А.,825619,44,20,0
1584.0,Верижникова Е.В.,287493,4,6,0
1590.0,Корнейченко Д.В.,684592,1,6,6
1597.0,Стебунова О.И.,672327,124,42,6
1620.0,Ковалевский В.П.,631429,400,81,6
1635.0,Степанов А.С.,249630,35,38,4
1636.0,Павлова Д.С.,785080,4,10,0
1735.0,Кропачева М.А.,653347,28,26,0
1775.0,Ковалева Т.Ю.,345196,224,38,5
1823.0,Реннер А.Г.,645331,224,64,6
1852.0,Просвиркина И.И.,415628,70,33,3
1867.0,Афанасьев В.Н.,644461,1482,97,1
1880.0,Петрищев В.П.,646552,1084,262,4
1883.0,Безбородникова Р.М.,673181,9,16,6
1892.0,Миролюбова Т.В.,384585,474,76,5
1916.0,Грузберг А.А.,787969,39,26,0
1929.0,Зеленцов Д.Г.,671266,5,7,6
1969.0,Колобова Л.В.,347782,232,49,1
2037.0,Туктамышева Л.М.,632647,97,31,6
2073.0,Буреш О.В.,143270,482,126,6
