Source,Target,id,weight
485.0,8.0,977,1.0
577.0,8.0,975,1.0
492.0,8.0,974,1.0
1186.0,8.0,973,1.0
989.0,8.0,972,2.0
211.0,8.0,970,2.0
1126.0,8.0,969,1.0
1019.0,8.0,967,1.0
408.0,8.0,966,1.0
747.0,8.0,965,2.0
196.0,8.0,962,3.0
846.0,8.0,961,1.0
502.0,8.0,960,6.0
333.0,8.0,959,1.0
1184.0,8.0,958,3.0
428.0,8.0,957,3.0
1340.0,8.0,956,1.0
774.0,8.0,954,1.0
651.0,8.0,953,2.0
1257.0,8.0,952,3.0
785.0,8.0,950,1.0
324.0,8.0,949,2.0
940.0,8.0,948,1.0
400.0,8.0,947,1.0
512.0,8.0,946,2.0
1150.0,8.0,945,2.0
562.0,8.0,944,1.0
716.0,8.0,942,1.0
1275.0,8.0,941,1.0
108.0,8.0,940,4.0
259.0,8.0,938,1.0
314.0,8.0,937,1.0
856.0,8.0,929,1.0
1201.0,8.0,928,1.0
198.0,8.0,927,1.0
961.0,8.0,926,1.0
731.0,8.0,925,2.0
1169.0,8.0,924,1.0
194.0,8.0,923,1.0
225.0,8.0,922,1.0
1366.0,8.0,921,4.0
741.0,8.0,919,2.0
656.0,8.0,918,44.0
467.0,8.0,917,2.0
463.0,8.0,915,1.0
1380.0,8.0,914,3.0
46.0,8.0,799,1.0
1187.0,8.0,797,17.0
1081.0,8.0,760,2.0
1246.0,8.0,758,1.0
171.0,8.0,591,2.0
787.0,8.0,590,22.0
445.0,46.0,1357,2.0
521.0,46.0,1353,1.0
649.0,46.0,1352,1.0
598.0,46.0,1351,1.0
1360.0,46.0,1350,6.0
1187.0,46.0,798,1.0
1839.0,51.0,2806,1.0
171.0,51.0,594,7.0
1321.0,108.0,1218,1.0
677.0,161.0,1518,2.0
741.0,165.0,1519,2.0
171.0,171.0,593,1.0
787.0,171.0,592,1.0
563.0,194.0,1589,4.0
917.0,194.0,1588,2.0
785.0,194.0,1586,12.0
300.0,194.0,1585,1.0
1019.0,196.0,1592,1.0
1187.0,196.0,1591,2.0
590.0,196.0,1590,1.0
856.0,198.0,934,1.0
1201.0,198.0,933,1.0
961.0,198.0,930,1.0
785.0,208.0,1607,3.0
1086.0,208.0,1606,1.0
1081.0,208.0,749,6.0
1126.0,211.0,971,1.0
746.0,251.0,2035,1.0
1426.0,296.0,1,1.0
1065.0,307.0,2727,3.0
802.0,307.0,2726,2.0
308.0,307.0,586,3.0
315.0,307.0,584,2.0
682.0,308.0,589,1.0
455.0,308.0,587,1.0
315.0,308.0,585,3.0
592.0,308.0,583,1.0
316.0,308.0,582,8.0
682.0,315.0,588,1.0
677.0,316.0,581,1.0
2028.0,370.0,2828,1.0
804.0,378.0,2739,1.0
649.0,378.0,2704,1.0
1184.0,428.0,963,2.0
661.0,453.0,2766,1.0
2100.0,455.0,2847,1.0
656.0,463.0,1833,1.0
467.0,463.0,916,1.0
746.0,465.0,755,1.0
1157.0,465.0,753,1.0
1081.0,465.0,751,1.0
577.0,485.0,976,1.0
1743.0,521.0,1872,1.0
1603.0,521.0,1871,1.0
1474.0,521.0,1870,3.0
1723.0,521.0,1869,1.0
1664.0,521.0,1868,3.0
649.0,521.0,1356,1.0
598.0,521.0,1355,1.0
1081.0,592.0,757,1.0
1426.0,592.0,2,1.0
1762.0,598.0,1915,1.0
649.0,598.0,1354,1.0
656.0,619.0,1978,1.0
1125.0,649.0,2703,2.0
2028.0,649.0,2459,1.0
2105.0,651.0,1968,1.0
679.0,656.0,1980,1.0
1184.0,656.0,1976,1.0
787.0,656.0,939,2.0
1366.0,656.0,920,2.0
1123.0,661.0,2767,1.0
746.0,661.0,2032,1.0
787.0,679.0,2103,1.0
1311.0,682.0,2743,1.0
787.0,716.0,943,1.0
1588.0,731.0,2024,1.0
1184.0,731.0,2023,1.0
1839.0,731.0,2021,3.0
1454.0,731.0,2020,5.0
1366.0,731.0,2019,1.0
1631.0,734.0,2037,3.0
1491.0,734.0,2034,1.0
1443.0,734.0,2033,1.0
746.0,734.0,2031,17.0
1611.0,746.0,2039,1.0
1787.0,746.0,2038,1.0
1631.0,746.0,2036,3.0
1443.0,746.0,2029,2.0
1491.0,746.0,2028,2.0
1157.0,746.0,754,1.0
1081.0,746.0,752,1.0
1019.0,747.0,968,1.0
1187.0,747.0,964,1.0
917.0,785.0,1587,2.0
787.0,785.0,951,1.0
1289.0,787.0,2102,1.0
1340.0,787.0,955,1.0
1065.0,802.0,2728,1.0
1201.0,856.0,935,1.0
961.0,856.0,932,1.0
1123.0,859.0,723,1.0
2100.0,937.0,2848,1.0
1125.0,937.0,2820,1.0
1201.0,961.0,931,1.0
1246.0,1081.0,759,1.0
1491.0,1081.0,756,1.0
1157.0,1081.0,750,2.0
1380.0,1169.0,2625,1.0
1588.0,1195.0,1982,1.0
1426.0,1311.0,0,2.0
1640.0,1321.0,2263,1.0
1917.0,1360.0,2602,1.0
1518.0,1360.0,2601,1.0
1683.0,1366.0,2609,1.0
1491.0,1443.0,2030,6.0
1839.0,1454.0,2022,3.0
1743.0,1474.0,2723,1.0
2028.0,1518.0,2738,1.0
1787.0,1611.0,2040,1.0
